College Name,Email
"ADITYA DEGREE COLLEGE, KAKINADA",adckkd@aditya.ac.in
GIET ENGINEERING COLLEGE,principalgec@giet.ac.in
"SVIMS SRI PADMAVATHI MEDICAL COLLEGE FOR WOMEN, ALIPIRI ROAD, TIRUPATI",deansvimsspmc@gmail.com
"VKR, VNB AGK COLLEGE OF ENGINEERING",vkrvnbengineering@gmail.com
CENTRAL UNIVERSITY OF ANDHRA PRADESH,cuapatp@gmail.com
MANDAVA INSTITUTE OF ENGINEERING AND TECHNOLOGY,mietenggcollege@gmail.com
"National Institute of Technology, Arunachal Pradesh",nitarunachal@nitap.ac.in
North Eastern Regional Institute of Science and Technology,registrar@nerist.ac.in
Rajiv Gandhi University,registrar@rgu.ac.in
Himalayan University,info@himalayanuniversity.com
North East Frontier Technical University,info@neftu.edu.in
Venkateshwara Open University,info@vou.ac.in
"Don Bosco College, Itanagar",dbcitanagar@gmail.com
"Donyi Polo Government College, Kamki",dpgckamki@gmail.com
Jawaharlal Nehru College,principaljnc@gmail.com
Arunachal Pradesh University,contact@apupsg.ac.in
Apex Professional University,ask@apexuniversity.edu.in
Central Institute of Himalayan Cultural Studies,cihcsdahung@gmail.com
The Global University,info@tgu.ac.in
North East Frontier Technical University Campus,info@neftu.edu.in
Arunachal Community College,acci0722@gmail.com
Wangcha Rajkumar Government College,wrgcollegedeomali@gmail.com
Government College Bomdila,principalgcbdl@gmail.com
Siang Royal Academy,siangroyalacademy@gmail.com
A.K. Chanda Law College,akclc1960@gmail.com
ADP College,principaladp@gmail.com
Agia College,principalagiacollege@gmail.com
Ajmal Law College,ajmal.lawcollege@gmail.com
AL Choudhury College,alccollege1996@gmail.com
Alhaz Sonai Bibi Choudhury College,asbccollege97@gmail.com
Anundoram Borooah Academy Degree College,arb.academy@gmail.com
Aronai College,aronaicollege297@gmail.com
Arya Vidyapeeth College,principal@avcollege.ac.in
Asian Institute of Management & Technology,aimtassam@gmail.com
Asom Sikshak Prasikshan Mahavidyalaya,aspmlankeshwar@gmail.com
Assam Don Bosco University,contact@dbuniversity.ac.in
Assam Down Town University,registrar@adtu.in
Assam Engineering College,principal@aec.ac.in
Assam Engineering Institute,principal.aei@gmail.com
Assam Rajiv Gandhi University of Cooperative Management (ARGUCOM),info.argucom@gmail.com
Assam Science and Technology University,registrar@astu.ac.in
Assam Skill University,grc.asup@gmail.com
Assam Textile Institute,atiguwahati@gmail.com
Assam University,registrar@aus.ac.in
Assam Women's University,registrarawu@gmail.com
Ataur Rahman College of Education,arce.2006@gmail.com
B Barooah College,principalbbc.ghy@gmail.com
Bahona College,bahonacollege1966@gmail.com
Baihata Chariali B.Ed. College,bcb.edcollege1994@gmail.com
Bajali Teachers Training College,hdas0161@gmil.com
Baksa Degree College,swrangdera1207@gmail.com
Baksa Polytechnic,baksapolytechnic@gmail.com
Bamundi Mahavidyalaya,bamundimahavidyalaya004@gmail.com
Banikanta College of Education (IASE),banikantacollege@gmail.com
"Baosi Banikanta Kakoti College, Nagaon",principalbbkc@gmail.com
Bapujee College,principal.bapujee@gmail.com
Barak Valley Engineering College,principalbvec@gmail.com
Barbhag College,barbhagcollege@gmail.com
Barnagar B.Ed. College,barnagarbed@gmail.com
Barpathar College,barpatharcollege@gmail.com
Barpeta B.T. College,barpetabtcollege@gmail.com
Barpeta Bongaigaon College,barpetabongaigaoncollege@gmail.com
Barpeta Girls College,barpetagirlscollege.barpeta@gmail.com
Barpeta Polytechnic,barpetapolytechnic@gmail.com
Basugaon College,pri.basugaoncollege@gmail.com
Batadrava Sri Sri Sankardev College,batadrabassscollege@gmail.com
BC Medhi College,collegebcm@gmail.com
Behali Degree College,bdcbehali@gmail.com
Beltola College,collegebeltola@gmail.com
Bengtol College,bengtolcollege@gmail.com
Bezara Anchalik College,santosh.sbd@gmail.com
"BH College, Howly",bhcollege1966@gmail.com
Bhattadev University,registrar@bhattadevuniversity.ac.in
Bhawanipur Anchalik College,bacbhawanipur@gmail.com
BHB College,principalbhbcollege18@gmail.com
Bhergaon College,principalbhergaoncollege2007@gmail.com
Bhuragaon College,kandarpasaikia50919@gmail.com
Bihpuria PG Training College,principalpgtc@gmail.com
Bijni College,bijnicollege@gmail.com
Bikali College,bikalicollege@gmail.com
Bineswar Brahma Engineering College (BBEC),principal.bbec@gmail.com
Bir Lachit Borphukan College,blbcollege2015@gmail.com
"Bir Raghab Moran Govt. Model College, Doomdooma, Tinsukia",principalbrmgmc@gmail.com
Birangana Sati Sadhani Rajyik Vishwavidyalaya,jpsaikia.2012@gmail.com
Birjhora Mahavidyalaya,birjhora1986@gmail.com
Biswanath College,bcollege1960@gmail.com
Biswanath Commerce College,collegebiswanathcommerce@gmail.com
BMBB Commerce College,bmbbcc2011@gmail.com
BN College,bncollege46@gmail.com
Bodofa U.N. Brahma College,principalbunbc@gmail.com
Bodoland University,bodolanduniv@gmail.com
Bokajan College,principalbkj.college@gmail.com
Bongaigaon B.Ed. College,bongaigaonttc@gmail.com
Bongaigaon College,principalbgncol@gmail.com
Bongaigaon Law College,bngnlawcollege@gmail.com
Bordoibam NCD Degree College,sdoley90@gmail.com
Borgaon Naharbari Degree College,bndcollege15@gmail.com
Borhat BPB Memorial College,borhatcollege@gmail.com
Borholla College,borhollacollege1990@gmail.com
Borkhola College,barkholacollege@gmail.com
Borobazar College,borobazarcollege@gmail.com
Bosco Institute,boscoinstitute@gmail.com
BP Chaliha College,bpccnagarbera1972@gmail.com
Brahmaputra Degree College,brahmaputradegreecollege1993@gmail.com
BRM Government Law College,brmprincipal2015@gmail.com
C.G. Purbanchal College,cgpurbanchal16@gmail.com
Cachar College,cacharcollege60@gmail.com
Central Institute Of Technology,citadmission@cit.ac.in
Chaiduar College,chaiduarcollege@gmail.com
Chandrakanta Hazarika College,ckhazarikacollege@gmail.com
Chandrapur College,chandrapurcollege1992@gmail.com
Charaibahi College,charaibahicollege@gmail.com
Chatia College,chatiacollegeassam@gmail.com
Chayygaon College,collegechhaygaon1974@gmail.com
Chilarai College,principal.chilaraicollege@gmail.com
Chirang Polytechnic,chirangpoly@gmail.com
Chunari College,chunaricollege@gmail.com
Cinnamara College,principalcinnamaracollege25@gmail.com
CNB College,cnbcollege@gmail.com
College Of Aeronautical Engineering,caeghy@gmail.com
College of Education (Christian Basti),ceguwahati@gmail.com
College of Education Boko,collegeofeducationboko@gmail.com
"College of Education, Morigaon",cofeducationmorigaon@gmail.com
College of Teacher Education (Golaghat),bordoloilawanu444@gmail.com
College of Teacher Education (Golaghat),ctegolaghat@gmail.com
College of Teacher Education (Kokrajhar),govt.ctekoj@gmail.com
College of Teacher Education (Mangaldoi),principalcte@gmail.com
College of Teacher Education (Silchar),ttcollegesilchar@gmail.com
College of Teacher Education (Tezpur),ctetezpur@gmail.com
"College of Teachers Education, Dhakuakhana",b.edcollegedk@gmail.com
Cotton University,registrar@cottonuniversity.ac.in
D.H.S.K. Law College,dhsklawdib@gmail.com
Dakha Devi Rasiwasia College,principalddrc@gmail.com
Dakshin Bijni Degree College,dbdcollegeab@gmail.com
Damdama College,damdamacollege2011@gmail.com
Darrang College,darrangcollege@gmail.com
Debabrata Bhuyan College,debabratbhuyancollege@gmail.com
Debraj Roy College,drcollege49@gmail.com
Demow College,demowcollege@gmail.com
Deomornoi B.Ed. College,principal.tt@gmail.com
Deomornoi Degree College,deomornoidegreecollege93@gmail.com
Deopani College,rongpharboson@gmail.com
Dergaon Kamal Dowerah College,principaldkdc@gmail.com
Dhakuakhana College,principaldhakuakhanacollege@gmail.com
Dharamsala College,dharmasala.college175@gmail.com
Dhemaji College,dhemajicollege@gmail.com
Dhemaji Engineering College,dilip.bora@gmail.com
Dhemaji Girls' College,dhemajigirlscollege@gmail.com
Dhemaji Law College,dhemajilawcollege@gmail.com
Dhemaji Polytechnic,dhemajipolytechnic@gmail.com
Dhemaji Post Graduate Training College,dmjpgtc@gmail.com
Dhing College,dhingcollege@gmail.com
DHSK Commerce College,dhskcomcol@gmail.com
Dhubri Law College,lawcollegemailme@gmail.com
Dhubri Post Graduate Teacher Training College,dhubri.pgttcollege@gmail.com
Dibrugarh University,registrar@dibru.ac.in
Digboi College,digboicollege@gmail.com
Dikhowmukh College,dikhowmukhcollege@gmail.com
Dimakuchi College,dimakuchicollege02@gmail.com
Dimoria College,dimoriacollege.khetri@gmail.com
Dimow Chariali College,dimowcharialicollege@gmail.com
Diphu Girl's College,principaldgcdharamnal@gmail.com
Diphu Government College,diphugovtc@gmail.com
Diphu Law College,principaldgc@gmail.com
Dispur College,dispurcollege1978@gmail.com
Dolgoma Anchalik College,gangesh4ever@gmail.com
Don Bosco College,dbcgolaghat@gmail.com
Don Bosco College Diphu,dbcollegediphu@gmail.com
Doom Dooma College,ddmcollege@gmail.com
Dr. Anita Baruah Sarma College of Education,drabscollege@gmail.com
Dr. N.B. College,nobinbordoloicollege@gmail.com
Dr. Shashi Bhusan Institute of Education,sarwar818@gmail.com
Dr. Shyama Prasad Mukherjee College,drspmcollegenellie@gmail.com
Dr. Shyama Prasad Mukherjee College of Education,spmcollege18@gmail.com
Dronacharya College,dronacharyaacademy2006@gmail.com
Dudhnoi College,dudhnoicollege@gmail.com
Eastern Karbi Anglong College,principalekac@gmail.com
Furkating College,furkatingcollege01@gmail.com
G.S. Lohia Girls' College,gslgcollege@gmail.com
Gauhati Commerce College,gccgolden@gmail.com
Gauhati University,registrar@gauhati.ac.in
Gelakey College,gelakeycollege@gmail.com
Ghanakanta Baruah College,gkbc.bishnu@gmail.com
Ghanakanta Borah College,gkbcollege3@gmail.com
Girijananda Chowdhury Institute of Management and Technology,principal@gimt-guwahati.ac.in
"Girijananda Chowdhury Institute of Management and Technology, Tezpur",gimttezpur11@gmail.com
"Girls' College, Kokrajhar",gckokrajhar90@gmail.com
GNDG Commerce College,ngndgcc@gmail.com
Goalpara College,goalparacollege55@gmail.com
Goalpara Girls' College,goalparagirlscollege@gmail.com
Goalpara Law College,goalparalawcollege@gmail.com
Goalpara Polytechnic,goalparapolytechnic@gmail.com
Gobardhan Kharija Bijni Degree College,gkbdegreecollege.2014@gmail.com
Gogamukh College,gmkc1981@gmail.com
Golaghat Commerce College,principalgcc1972@gmail.com
Golaghat Engineering College,satyajitpaul.aec.01@gmail.com
Golaghat Engineering College,principal.gec.01@gmail.com
Golaghat Law College,atowar78ra@gmail.com
Golaghat Polytechnic,golaghatpolytechnic@gmail.com
Golaghat Purbanchalik College,purbanchalikcollege@gmail.com
Goreswar College,goreswarcollege@gmail.com
Gossaigaon B.Ed. College,ajitgiyan@gmail.com
Gossaigaon College,gsncollege@gmail.com
"Govt. Model College. Kaziranga, Golaghat",govtmodelcollegekaziranga@gmail.com
"Govt. Model Degree College, Borkhola",principalgmcb1@gmail.com
"Govt. Model Degree College, Deithor",principalgmcd@gmail.com
Habraghat Mahavidyalaya,habraghatcollege@gmail.com
Haflong Government College,haflongcollege@gmail.com
Hailakandi Polytechnic,kdsilpo.deb@gmail.com
Hailakandi Women's College,hkdwomenscollege@gmail.com
Haji Ajmal Ali College,office.asstt.haa.nil@gmail.com
Haji Ajmal Ali College,pr.haa.nil@gmail.com
Haji Anfor Ali College,haacdaboka@gmail.com
Halakura College,halakuracollege@gmail.com
Ham-Ak Rural College of Education,hrdffc2012@gmail.com
Hamidabad College,iqachamidabadcollege@gmail.com
Handique Girl's College,hgcollege75@gmail.com
Harendra Chitra College,hccollege4102@gmail.com
Harhi College,harhicollege1996@gmail.com
Hari Gayatri Das College,harigayatridascollege17@gmail.com
Harlongbi Velongbi College,yronghangpi8509@gmail.com
Hatichong College,hatichongcollege@gmail.com
Hatidhura College,hatidhuracollege1990@gmail.com
Hatsingimari College,hatsingimaricollege@gmail.com
Hem Chandra Dev Goswami College,hcdgcollege@gmail.com
Hills Degree College,hillsdegreecollege@gmail.com
Howraghat College,howraghatcollege94@gmail.com
HRH the Prince of Wales Institute,hrhpowiet@gmail.com
Icon Commerce College,iconcom.2004@gmail.com
"Indian Institute of Information Technology, Guwahati",admoff@iiitg.ac.in
Indira Gandhi College,indiragandhibtm@gmail.com
Indreswar Sharma Academy Degree College,indreswar.sarma.academy@gmail.com
J.D.S.G.College,jdsgcollegelibrary@gmail.com
J.N. College,principaljnc13@gmail.com
Jagiroad College,jagiroadcollege12@gmail.com
Jaleswar College,collegejaleswar@gmail.com
Janapriya College,janapriyacollege1991@gmail.com
"Janata College, Cachar",janatacollegekabuganj@gmail.com
"Janata College, kokrajhar",janatacollege1977@gmail.com
Janata Mahavidyalaya,janatamahavidyalaya.tsk@gmail.com
JB Hagjer Degree College,jbhdcollegeumrongso@gmail.com
JB Law College,jblccontacts@gmail.com
Jhanji Hemnath Sarma College,jhnscollege@gmail.com
Jiadhal College,collegejiadhal@gmail.com
Jonai Girls’ College,jgcjonai@gmail.com
Jonai Science College,jonaisciencecollege@gmail.com
Jorhat College,principaljorhatcollege@gmail.com
Jorhat Engineering College,principaljec.rsarmah@gmail.com
Jorhat Institue of Science and Technology,principaljistnew@gmail.com
Jorhat Law College,lawcollegejorhat@gmail.com
Joya Gogoi College,principal.jgc@gmail.com
Juria College,juriacollege1989@gmail.com
K.C. Das Commerce College,kcdccollege@gmail.com
K.R.B. Girls' College,krbgirlscollege@gmail.com
Kachua Tiniali College,kachuatinialicollege@gmail.com
Kakojan College,kakojancollegeadm@gmail.com
Kalabari College,sarmapradip178@gmail.com
Kalaguru Bishnu Rabha Degree College,kbrdegreecollegeorang1990@gmail.com
Kaliabor College of Education,principalkaliabor1992@gmail.com
Kamarbandha College,kamarbandhacollege2012@gmail.com
Kamargaon College,kamargaon785619college@gmail.com
Kampur College,kampurcollege1968@gmail.com
Kamrup Polytechnic,kamruppolytechnic@gmail.com
Kanya Mahavidyalaya,kanyamahavidyalaya1977@gmail.com
"Kapili College, Kheroni",kapilicollege1995@gmail.com
Karimganj College,karimganjcollege@gmail.com
Karimganj Law College,karimganjlawcollege.1984@gmail.com
Karimganj Pioneer College,kaliganjpioneercollege@gmail.com
Karimganj Polytechnic,principalkxjpoly@gmail.com
Katahguri College,katahguricollege@gmail.com
Katigorah Anchalik Degree College,katigorahanchalikdegreecollege@gmail.com
Kayakuchi College,kayakuchicollege88@gmail.com
Kaziranga University,registrar@kazirangauniversity.in
Khagarijan College,khagarijancollege1@gmail.com
Khairum Nessa Begum Women's College,kbwcbadarpur@gmail.com
Khairum Nessa Begum Women's College,sana.siddiqui1@gmail.com
Kharupetia College,kharupetiacollege@gmail.com
Kherajkhat College,kherajkhatcollege7@gmail.com
Kherkata College,principalkherkatacollege@gmail.com
Khoirabari College,khoirabaricollege@gmail.com
Khowang College,principalkhowangcollege1982@gmail.com
KK Handique State Open University,info@kkhsou.in
Koklabari Chapaguri College,kcdegreecollege13@gmail.com
Kokrajhar Govt. College,principalkokgc@gmail.com
Kokrajhar Law College,koklawcollege@gmail.com
Konpai Bordoloi College Borchila,principalkbcollege@gmail.com
KRD College of Education,krdcollegechhaygaon@gmail.com
Krishna Bora B.Ed. College,kbbedcollege@gmail.com
Kulajan College,banikantakuli41423@gmail.com
L.G.B. Girls College,principallgbgc@gmail.com
Lahorighat Degree College,laharighatcollege201@gmail.com
Lahowal College,lahcol1995@gmail.com
Laimekuri College,collegelaimekuri@gmail.com
Lakhimpur Kendriya Mahavidyalaya,lkmnlp@gmail.com
Lakhimpur Polytechnic,lakhimpurpolytechnic@gmail.com
Lakhipur College,lakhipurcollegeglp@gmail.com
Lakshmi Bai Institute of Physical Education,sailncpe@gmail.com
Lala Rural College,prinlala1964@gmail.com
Lalit Jain Commerce College,ljccsilchar@gmail.com
Laluk College,lalukcollege@gmail.com
Langhin College,langhincollege@gmail.com
Lanka Mahavidyalaya,principal.lm@gmail.com
LCB College,lcbcollege.csc@gmail.com
Luitparia College,luitpariacollege129@gmail.com
"M.K. Gandhi College, Manikganj",collegemkgandhi@gmail.com
Machkhowa Degree College,machkhowadegreecollege84@gmail.com
Madhabdev University,universitymadhabdev@gmail.com
Madhya Kampeeth College,madhyakampeethcollege1986@gmail.com
Madhya Kamrup College,madhyakamrupcollege@gmail.com
Mahamaya Degree College,mdcollege2010@gmail.com
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,mrinalbora59@gmail.com
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,registrarmssv@gmail.com
Mahatma Gandhi College,mgcollegechalantapara@gmail.com
Maibang Degree College,maibangdegreecollege@gmail.com
Majuli College,majulicollege@gmail.com
Majuli University of Culture,mucmajuli19@gmail.com
Makum College,makumcollege@gmail.com
Manabendra Sarma Girls’ College,principalmsgcollege@gmail.com
Mandia Anchalik College,mandiacollege@gmail.com
Mangaldoi College,principalmangaldaicollege@gmail.com
Manikpur Anchalik College,manikpuranchalikcollege@gmail.com
Manohari Devi Kanoi Girls' College,mdkgcollege@gmail.com
Margherita College,mrgcollege@gmail.com
Mayong Anchalik College,mayanganchalikcollege@gmail.com
Mazbat College,collegemazbat@gmail.com
"MC Das College, Cachar",mcdcollege72@gmail.com
Melamora College,melamoracollege1987@gmail.com
Milan Jyoti College,milanjyoticollege@gmail.com
Miri Jiory College,mirijiorycollege2015@gmail.com
Missamari College,missamaricollege2021@gmail.com
MK Dey College,mkdc1994@gmail.com
MNC Balika Mahavidyalaya,mncbm2018@gmail.com
Moinul Haque Choudhury College,dhamazumder@gmail.com
Moirabari College,principalmoirabaricollege@gmail.com
Moran Commerce College,morancommercecollege@gmail.com
Morangi Mahavidyalaya,marangimahabidyalaya2016@gmail.com
Moridhol College,moridhalcollege@gmail.com
Morigaon Law College,lawcollegemorigaon@gmail.com
Morigaon Polytechnic,morigaonpolytechnic@gmail.com
Mphasis Degree College,mphasiscollege@gmail.com
Murazar college,murazarcollege@gmail.com
Murkong Selek College,mscollege.jni@gmail.com
Mushalpur College,mushalpurcollege@gmail.com
N.C. Paul Memorial College,ncpaul@gmail.com
Na-kachari College,nakacharicollege1988@gmail.com
Nabajyoti College,nabajyoticollege@gmail.com
Naharkatiya College,nhkcollege@gmail.com
Nalbari College,nalbaricollege1945@gmail.com
Nalbari Commerce College,principalnccollege1979@gmail.com
Nalbari Law College,chandanaroytalukdar@gmail.com
Nalbari Polytechnic,nalbaripolytechnic@gmail.com
Namrup College,principalnamrupcollege@gmail.com
Nanda Nath Saikia College,nnscollege@gmail.com
Nandalal Borghain City College,nlbcity@gmail.com
Narangi Anchalik Mahavidyalaya,narangianchalikmahavidyalay@gmail.com
National Institute of Pharmaceutical Education & Research,registrar@niperguwahati.ac.in
National Institute of Technology,registrar@nits.ac.in
National Law University & Judicial Academy,registrar@nluassam.ac.in
Nazir Ajmal Memorial College of Education,principal.namce@gmail.com
NEF Law College,nefghy@gmail.com
Nehru College,nehrucollege1965@gmail.com
NERIM Group of Institutions,nerimindia@gmail.com
Nilambazar College,nilambazarcollege@gmail.com
Nonoi College,nonoicollege1@gmail.com
North Bank College,northbankcollege@gmail.com
North Gauhati College,principalngc1962@gmail.com
North Kamrup College,principalnkc@gmail.com
North Lakhimpur College (Autonomous),nlcollege.autonomous@gmail.com
Nowboicha College,principalnowboichacollege@gmail.com
Nowgong College,principal@nowgongcollege.org
Nowgong Girls' College,ngcprincipal2@gmail.com
Nowgong Law College,principalnlc555@gmail.com
Nowgong Polytechnic,principal@nowgongpolytechnic.ac.in
"Padmanath Gohain Baruah Model Degree College, Kakopathar, Tinsukia",principalpngb2020@gmail.com
"Pandit Deen Dayal Upadhyaya Adarsha Mahavidyalaya, Amjonga",modelcollegeamjonga@gmail.com
"Pandit Deen Dayal Upadhyaya Adarsha Mahavidyalaya, Behali",modeldegreecollegebehali2017@gmail.com
"Pandit Deen Dayal Upadhyaya Adarsha Mahavidyalaya, Dalgaon",pduamdalgaon@gmail.com
"Pandit Deen Dayal Upadhyaya Adarsha Mahavidyalaya, Eraligool",principal.eraligool@gmail.com
"Pandit Deen Dayal Upadhyaya Adarsha Mahavidyalaya, Katlichera",pdugmc.katlicherra@gmail.com
"Pandit Deen Dayal Upadhyaya Adarsha Mahavidyalaya, Tulungia",pduamtulungia@gmail.com
Paneri College,panericollege2019@gmail.com
Paschim Guwahati Mahavidyalaya,pgm17dharapur@gmail.com
Paschim Jonai College,pjcollegedekapam1989@gmail.com
Patharkandi College,pkdc001990@gmail.com
Patharkandi College of Education,patharkandicollegeofeducation@gmail.com
Pati Darrang College,patidarrangcollege89@gmail.com
Patsaku College,patsakucollege94@gmail.com
PCPS Girls Polytechnic,girlspolyghy021@gmail.com
Pitambordev Goswami College,saikiaarup536@gmail.com
Pithubar Girls' Degree College,pithubarcollegekhowang@gmail.com
Pragati College,progaticollegeagomani@gmail.com
Pragjyotish B.Ed. College Pacharia,pragjyotishbedcollegepacharia@gmail.com
Pragjyotish College,principal@pragjyotishcollege.ac.in
Pramathesh Barua College,pbcollegefeedback@gmail.com
Pranab Jubilee College,pranabjubileecollege@gmail.com
Province College,provincecollegeghy@gmail.com
Province College B. Ed.,provincecollegeghy@gmail.com
Pub Bongsor College,pbaishya720@gmail.com
Pub Dikrong College,prasantaprincipalpdc@gmail.com
Pub Kamrup College,principal@pubkamrupcollege.org
Pub Majuli College,pubmajulicollege@gmail.com
Purbanchal College,purbanchalcollege@gmail.com
R.G. Memorial College,rgmcl2014@gmail.com
Rabindranath Tagore University,rturegistrar0@gmail.com
Rabindrasadan Girls' College,rabindrasadancollege@gmail.com
Radhamadhab College,rmcollege71@gmail.com
Ramanuj Gupta Degree College,rgdc.info@gmail.com
Ramkrishna Nagar College,rknagarcollege9@gmail.com
Rampur Anchalik College,rampuranchalikcollege@gmail.com
Rangachahi College,rangachahicollege1983@gmail.com
